FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
,MZUSP,,97287,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Margem esquerda do rio Sucunduri ~6 km abaixo da BR 230 (Ponto 5),-6.75472,-59.08306,WGS84,,2013-6-26,,,0,0,0,0,,
,MZUSP,,76792,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Paca, Margem D rio Abacaxis",-4.58333,-58.21667,WGS84,,2007-1-20,,,0,0,0,0,,
,MZUSP,,86474,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Rio Parauari, Marg D. 4 km abaixo cach.Tambor",-4.98694,-58.01000,WGS84,,2009-7-16,,,0,0,0,0,,
,MCZ,,173836,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Belém: Bosque,-1.45000,-48.48333,WGS84,,1932-3-4,,,0,0,0,0,,
,MZUSP,,15953,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Foz do R. Tapajós: Santarém,-2.43000,-54.70000,WGS84,,1939-3-19,,,0,0,0,0,,
,MZUSP,,44168,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-8-17,,,0,0,0,0,,
,MZUSP,,44172,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-10-01,,,0,0,0,0,,
,MZUSP,,44175,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-9-04,,,0,0,0,0,,
,MCZ,,173842,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,R. Tapajós: Pinhy,-3.10000,-55.10000,WGS84,,1933-6-21,,,0,0,0,0,,
,MCZ,,173839,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,R. Tapajos: Santarém,-2.43333,-54.03333,WGS84,,1932-7-20,,,0,0,0,0,,
