FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
TE.H.AMNH143927.00000001,AMNH,,143927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-11,,Head,0,0,0,0,00000001,
TE.H.AMNH143927.00000002,AMNH,,143927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-11,,Head,0,0,0,0,00000002,
TE.H.AMNH143927.00000003,AMNH,,143927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-11,,Head,0,0,0,0,00000003,
TE.H.AMNH143927.00000004,AMNH,,143927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-11,,Head,0,0,0,0,00000004,
TE.H.AMNH143927.00000005,AMNH,,143927,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-11,,Head,0,0,0,0,00000005,
TE.H.AMNH143928.00000001,AMNH,,143928,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-13,,Head,0,0,0,0,00000001,
TE.H.AMNH143928.00000002,AMNH,,143928,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-13,,Head,0,0,0,0,00000002,
TE.H.AMNH143928.00000003,AMNH,,143928,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-13,,Head,0,0,0,0,00000003,
TE.H.AMNH143928.00000004,AMNH,,143928,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-13,,Head,0,0,0,0,00000004,
TE.H.AMNH143928.00000005,AMNH,,143928,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"Los Sabalos, San Juan River",11.05000,-84.48333,WGS84,,1917-5-13,,Head,0,0,0,0,00000005,
TE.H.AMNH246605.00000001,AMNH,,246605,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Guaval, Rio Calovevora, Carribean Slope",8.33316,-81.14999,WGS84,,1926-9-8,,Head,0,0,0,0,00000001,
TE.H.AMNH246605.00000002,AMNH,,246605,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Guaval, Rio Calovevora, Carribean Slope",8.33316,-81.14999,WGS84,,1926-9-8,,Head,0,0,0,0,00000002,
TE.H.AMNH246605.00000003,AMNH,,246605,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Guaval, Rio Calovevora, Carribean Slope",8.33316,-81.14999,WGS84,,1926-9-8,,Head,0,0,0,0,00000003,
TE.H.AMNH246605.00000004,AMNH,,246605,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Guaval, Rio Calovevora, Carribean Slope",8.33316,-81.14999,WGS84,,1926-9-8,,Head,0,0,0,0,00000004,
TE.H.AMNH246605.00000005,AMNH,,246605,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"Guaval, Rio Calovevora, Carribean Slope",8.33316,-81.14999,WGS84,,1926-9-8,,Head,0,0,0,0,00000005,
TE.H.CM155233.00000001,CM,,155233,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo (Rio Térraba),8.96667,-83.53333,WGS84,,1930-5-19,,Head,0,0,0,0,00000001,
TE.H.CM155233.00000002,CM,,155233,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo (Rio Térraba),8.96667,-83.53333,WGS84,,1930-5-19,,Head,0,0,0,0,00000002,
TE.H.CM155233.00000003,CM,,155233,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo (Rio Térraba),8.96667,-83.53333,WGS84,,1930-5-19,,Head,0,0,0,0,00000003,
TE.H.CM155233.00000004,CM,,155233,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo (Rio Térraba),8.96667,-83.53333,WGS84,,1930-5-19,,Head,0,0,0,0,00000004,
TE.H.CM155233.00000005,CM,,155233,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,El Pozo (Rio Térraba),8.96667,-83.53333,WGS84,,1930-5-19,,Head,0,0,0,0,00000005,
TE.H.CM155234.00000001,CM,,155234,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Pt Jimenez (Penninsula of Oso),8.55000,-83.31667,WGS84,,1929-12-6,,Head,0,0,0,0,00000001,
TE.H.CM155234.00000002,CM,,155234,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Pt Jimenez (Penninsula of Oso),8.55000,-83.31667,WGS84,,1929-12-6,,Head,0,0,0,0,00000002,
