index,institutionCode,catalogueNumber,filename,similarity
222894,LSUMNS,114719,SU.S.LSU114719.00000003.Master.Transmission,1
243312,LSUMNS,161602,SU.U.LSU161602.00000002.Master.Transmission,1
243440,LSUMNS,161602,SU.U.LSU161602.00000004.Master.Transmission,1
243504,LSUMNS,161602,SU.U.LSU161602.00000005.Master.Transmission,1
243572,LSUMNS,71304,SU.U.LSU71304.00000001.Master.Transmission,1
243636,LSUMNS,71304,SU.U.LSU71304.00000002.Master.Transmission,1
243700,LSUMNS,71304,SU.U.LSU71304.00000003.Master.Transmission,1
243764,LSUMNS,71304,SU.U.LSU71304.00000004.Master.Transmission,1
243828,LSUMNS,71304,SU.U.LSU71304.00000005.Master.Transmission,1
243883,LSUMNS,87590,SU.U.LSU87590.00000001.Master.Transmission,1
243947,LSUMNS,87590,SU.U.LSU87590.00000002.Master.Transmission,1
244011,LSUMNS,87590,SU.U.LSU87590.00000003.Master.Transmission,1
244075,LSUMNS,87590,SU.U.LSU87590.00000004.Master.Transmission,1
244139,LSUMNS,87590,SU.U.LSU87590.00000005.Master.Transmission,1
251581,LSUMNS,108223,TE.H.LSU108223.00000001.Master.Transmission,1
251645,LSUMNS,108223,TE.H.LSU108223.00000002.Master.Transmission,1
251709,LSUMNS,108223,TE.H.LSU108223.00000003.Master.Transmission,1
243376,LSUMNS,161602,SU.U.LSU161602.00000003.Master.Transmission,1
243248,LSUMNS,161602,SU.U.LSU161602.00000001.Master.Transmission,1
260923,LSUMNS,163519,TE.M.B.LSU163519.00000002.Master.Transmission,1
243185,LSUMNS,119388,SU.U.LSU119388.00000005.Master.Transmission,1
242221,LSUMNS,114718,SU.U.LSU114718.00000005.Master.Transmission,1
242286,LSUMNS,114719,SU.U.LSU114719.00000001.Master.Transmission,1
242350,LSUMNS,114719,SU.U.LSU114719.00000002.Master.Transmission,1
242414,LSUMNS,114719,SU.U.LSU114719.00000003.Master.Transmission,1
242478,LSUMNS,114719,SU.U.LSU114719.00000004.Master.Transmission,1
242542,LSUMNS,114719,SU.U.LSU114719.00000005.Master.Transmission,1
242607,LSUMNS,114720,SU.U.LSU114720.00000001.Master.Transmission,1
242671,LSUMNS,114720,SU.U.LSU114720.00000002.Master.Transmission,1
242735,LSUMNS,114720,SU.U.LSU114720.00000003.Master.Transmission,1
242799,LSUMNS,114720,SU.U.LSU114720.00000004.Master.Transmission,1
242863,LSUMNS,114720,SU.U.LSU114720.00000005.Master.Transmission,1
242929,LSUMNS,119388,SU.U.LSU119388.00000001.Master.Transmission,1
242993,LSUMNS,119388,SU.U.LSU119388.00000002.Master.Transmission,1
243057,LSUMNS,119388,SU.U.LSU119388.00000003.Master.Transmission,1
243121,LSUMNS,119388,SU.U.LSU119388.00000004.Master.Transmission,1
251773,LSUMNS,108223,TE.H.LSU108223.00000004.Master.Transmission,1
251837,LSUMNS,108223,TE.H.LSU108223.00000005.Master.Transmission,1
