institutionCode,catalogueNumber,notmatched,similarity
CM,72696,AM.U.CM972696.00000005.Master.Transmission,2
CM,72696,AM.U.CM972696.00000004.Master.Transmission,2
CM,72696,AM.U.CM972696.00000003.Master.Transmission,2
CM,72696,AM.U.CM972696.00000002.Master.Transmission,2
CM,72696,AM.U.CM972696.00000001.Master.Transmission,2
CM,72696,AM.T.CM972696.00000005.Master.Transmission,2
CM,72696,AM.T.CM972696.00000004.Master.Transmission,2
CM,72696,AM.T.CM972696.00000003.Master.Transmission,2
CM,72696,AM.T.CM972696.00000002.Master.Transmission,2
CM,72696,AM.T.CM972696.00000001.Master.Transmission,2
CM,72696,AM.S.CM972696.00000005.Master.Transmission,2
CM,72696,AM.S.CM972696.00000004.Master.Transmission,2
CM,72696,AM.S.CM972696.00000003.Master.Transmission,2
CM,72696,AM.S.CM972696.00000002.Master.Transmission,2
CM,72696,AM.S.CM972696.00000001.Master.Transmission,2
CM,72696,AM.R.CM972696.00000005.Master.Transmission,2
CM,72696,AM.R.CM972696.00000004.Master.Transmission,2
CM,72696,AM.R.CM972696.00000003.Master.Transmission,2
CM,72696,AM.R.CM972696.00000002.Master.Transmission,2
CM,72696,AM.R.CM972696.00000001.Master.Transmission,2
CM,72696,AM.M.CM972696.00000005.Master.Transmission,2
CM,72696,AM.M.CM972696.00000004.Master.Transmission,2
CM,72696,AM.M.CM972696.00000003.Master.Transmission,2
CM,72696,AM.M.CM972696.00000002.Master.Transmission,2
CM,72696,AM.M.CM972696.00000001.Master.Transmission,2
