FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
,MZUSP,,95838,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Marg. Esq. rio Sucunduri, right bank lower Rio Acari",-5.28033,-59.69589,WGS84,,2012-7-20,,,0,0,0,0,,
,MZUSP,,97287,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Margem esquerda do rio Sucunduri ~6 km abaixo da BR 230 (Ponto 5),-6.75472,-59.08306,WGS84,,2013-6-26,,,0,0,0,0,,
,MZUSP,,76792,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Paca, Margem D rio Abacaxis",-4.58333,-58.21667,WGS84,,2007-1-20,,,0,0,0,0,,
,MZUSP,,86474,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Rio Parauari, Marg D. 4 km abaixo cach.Tambor",-4.98694,-58.01000,WGS84,,2009-7-16,,,0,0,0,0,,
,AMNH,,278606,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Villa Bella Imperatriz; Serra de Parintay, R. Amazon, S. Bank",-2.60000,-56.73333,WGS84,,1930-11-15,,,0,0,0,0,,
,MNRJ,,31079,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Açailândia,-4.95000,-47.78333,WGS84,,1965-7,,,0,0,0,0,,
,MNRJ,,30968,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Alto Cururú,-7.20000,-58.05000,WGS84,,1957-8-1,,,0,0,0,0,,
,CM,,77942,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Apacy, Tapajos R.",-3.35000,-55.35000,WGS84,,1920-4-23,,,0,0,0,0,,
,MCZ,,173836,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Belém: Bosque,-1.45000,-48.48333,WGS84,,1932-3-4,,,0,0,0,0,,
,CM,,69765,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Benevides, Bragança R. R",-1.36667,-48.25000,WGS84,,1918-10-16,,,0,0,0,0,,
,CM,,69766,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Benevides, Bragança R. R",-1.36667,-48.25000,WGS84,,1918-10-16,,,0,0,0,0,,
,MNRJ,,45886,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Corregodas Panelas [igarape das Panelas], Missões, rio Xingu, Altamira",-3.21667,-52.21667,WGS84,,1951-11-8,,,0,0,0,0,,
,MZUSP,,15953,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Foz do R. Tapajós: Santarém,-2.43000,-54.70000,WGS84,,1939-3-19,,,0,0,0,0,,
,MZUSP,,44168,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-8-17,,,0,0,0,0,,
,MZUSP,,44169,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-8-19,,,0,0,0,0,,
,MZUSP,,44171,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-8-26,,,0,0,0,0,,
,MZUSP,,44172,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-10-01,,,0,0,0,0,,
,MZUSP,,44174,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-9-04,,,0,0,0,0,,
,MZUSP,,44175,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-9-04,,,0,0,0,0,,
,MZUSP,,44177,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-9-11,,,0,0,0,0,,
,MZUSP,,44181,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Subadult,Brazil,Mun. Capim - BR14 Km 93 - Estr. Belém-Brasília,-1.68000,-47.78000,WGS84,,1959-10-06,,,0,0,0,0,,
,MCZ,,173842,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,R. Tapajós: Pinhy,-3.10000,-55.10000,WGS84,,1933-6-21,,,0,0,0,0,,
,MCZ,,173839,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,R. Tapajos: Santarém,-2.43333,-54.03333,WGS84,,1932-7-20,,,0,0,0,0,,
,MZUSP,,32025,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Rio Arapiuns,-2.30000,-55.00000,WGS84,,1937-6-09,,,0,0,0,0,,
,MZUSP,,58305,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Rio Tapajós (L.), Fordlandia",-3.67000,-55.50000,WGS84,,1964-3-12,,,0,0,0,0,,
,LACM,,42383,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Rod. Belem-Brasilia KM 107,-1.30906,-47.70095,WGS84,,1960-6-26,,,0,0,0,0,,
,LACM,,42380,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Rod. Belem-Brasilia KM 86,-1.29808,-47.81906,WGS84,,1960-6-9,,,0,0,0,0,,
,MCZ,,22899,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,Santarem,-2.43333,-54.70000,WGS84,,,,,0,0,0,0,,
,CM,,72696,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Santarem, Amazon R.",-2.43333,-54.70000,WGS84,,1919-5-12,,,0,0,0,0,,
,MNRJ,,4406,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Tanaquara, Matas do Benjamim",-1.33333,-48.43333,WGS84,,1915-9,,,0,0,0,0,,
,MZUSP,,88718,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Terra Preta, Porto de Moz",-2.18000,-52.28000,WGS84,,2010-2-18,,,0,0,0,0,,
,AMNH,,429219,Aves,Trogoniformes,Trogonidae,Trogon,rufus,amazonicus,Male,Adult,Brazil,"Villarinho do Monte, Rio Xingú",-1.61667,-52.01667,WGS84,,1931-9-20,,,0,0,0,0,,
,LACM,,47483,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Subadult,Argentina,Arroyo Urugua-i Km10,-25.87700,-54.55400,WGS84,,1959-10-1,,,0,0,0,0,,
,LACM,,47484,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Arroyo Urugua-i Km10,-25.87700,-54.55400,WGS84,,1959-10-18,,,0,0,0,0,,
,LACM,,47485,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Arroyo Urugua-i Km10,-25.87700,-54.55400,WGS84,,1959-12-13,,,0,0,0,0,,
,LACM,,47457,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-6-7,,,0,0,0,0,,
,LACM,,47458,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-6-7,,,0,0,0,0,,
,LACM,,47461,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-6-9,,,0,0,0,0,,
,LACM,,47462,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Subadult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-6-15,,,0,0,0,0,,
,LACM,,47468,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-6-11,,,0,0,0,0,,
,LACM,,47473,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-8-5,,,0,0,0,0,,
,LACM,,47475,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-8-25,,,0,0,0,0,,
,LACM,,47477,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-8-31,,,0,0,0,0,,
,LACM,,47478,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Argentina,Tobunas,-26.46667,-53.90000,WGS84,,1959-8-31,,,0,0,0,0,,
,USNM,,115218,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,,,,,,,,,0,0,0,0,,
